Tree,Node,Tree Level,Parent Node
CC_DEPARTMENT,261333,6,261000
CC_DEPARTMENT,261143,6,261000
CC_DEPARTMENT,261207,6,261000
CC_DEPARTMENT,430000,4,660000
CC_DEPARTMENT,433002,5,430000
CC_DEPARTMENT,435002,5,430000
CC_DEPARTMENT,434002,5,430000
CC_DEPARTMENT,170000,4,660000
CC_DEPARTMENT,171002,5,170000
CC_DEPARTMENT,140000,4,660000
CC_DEPARTMENT,141002,5,140000
CC_DEPARTMENT,860000,4,660000
CC_DEPARTMENT,440000,3,000000
CC_DEPARTMENT,804000,4,440000
CC_DEPARTMENT,400000,4,440000
CC_DEPARTMENT,615000,3,000000
CC_DEPARTMENT,620000,4,615000
CC_DEPARTMENT,621002,5,620000
CC_DEPARTMENT,157000,3,000000
CC_DEPARTMENT,110000,4,157000
CC_DEPARTMENT,200000,3,000000
CC_DEPARTMENT,251005,5,250000
CC_DEPARTMENT,252005,5,250000
CC_DEPARTMENT,203008,5,795000
CC_DEPARTMENT,203032,5,795000
CC_DEPARTMENT,271008,5,795000
CC_DEPARTMENT,272008,5,795000
CC_DEPARTMENT,273008,5,795000
CC_DEPARTMENT,221000,4,200000
CC_DEPARTMENT,222006,5,221000
CC_DEPARTMENT,222028,5,221000
CC_DEPARTMENT,222080,5,221000
CC_DEPARTMENT,225016,5,221000
CC_DEPARTMENT,225025,5,221000
CC_DEPARTMENT,225067,5,221000
CC_DEPARTMENT,225080,5,221000
CC_DEPARTMENT,225113,5,221000
CC_DEPARTMENT,225174,5,221000
CC_DEPARTMENT,225208,5,221000
CC_DEPARTMENT,225241,5,221000
CC_DEPARTMENT,225339,5,221000
CC_DEPARTMENT,224000,4,200000
CC_DEPARTMENT,224025,5,224000
CC_DEPARTMENT,224067,5,224000
CC_DEPARTMENT,224068,5,224000
CC_DEPARTMENT,224069,5,224000
CC_DEPARTMENT,224080,5,224000
CC_DEPARTMENT,224174,5,224000
CC_DEPARTMENT,224241,5,224000
CC_DEPARTMENT,228339,5,224000
CC_DEPARTMENT,226080,5,224000
CC_DEPARTMENT,205000,4,200000
CC_DEPARTMENT,206008,5,205000
CC_DEPARTMENT,208000,4,200000
CC_DEPARTMENT,208008,5,208000
CC_DEPARTMENT,209000,4,200000
CC_DEPARTMENT,223106,5,209000
