Approvers, 1443,
Dept/Loc,User ID,Appr Level
805000,LRAMIREZ,08
313000,JDALTON,08
221000,KPETIT,01
221000,CCHANEY,01
224000,SMILLS,01
224000,PLABITUE,01
231000,EULLOA-MURRAY,01
231000,CSHEA,01
231000,AGORDON,01
235000,TTHIBODEAUX,01
238000,MROMAIN,01
238000,AISIDOR,01
239000,MHARRIGAN,01
239000,JMCQUIGGAN,01
860000,MRUNKEL,01
140000,WDECOSTE,01
140000,TJOHNSON,01
400000,NEASLEY,01
400000,FSCABIN,01
250000,SPATEL,01
280000,RCREEDON,01
671000,DPAYNE,01
672000,JBUONOPANE,01
795000,RGUPTILL,01
805000,PBRANDLEY,01
240000,SCULP,01
240000,HDURSO,01
290000,CJOYCE-HARRINGTON,01
310000,SMCDONNELL,01
310000,CGUIOD,01
310000,BDONOVAN,01
320000,JTHORNTON,01
320000,DPETERSEN,01
330000,JCHAN,01
430000,SGROFF,01
430000,KSILVA,01
430000,DMETRAUX,01
630000,MRUNKEL,01
640000,MRUNKEL,01
673000,JGAUTHIER,01
674000,EBAIRD,01
700000,JBROCHU,01
710000,TKING,01
710000,JRAMSAY,01
710000,DTRIBONE,01
710000,CJORDAN,01
780000,SSULLIVAN,01
730000,MD'ANGELO,01
313000,JSARIN,01
620000,RBAIN,01
620000,LPAGETSEEKINS,01
804000,NEASLEY,01
804000,JCARREIRO,01
100000,MRUNKEL,01
102000,RSAMPSON,01
102000,LBRELSFORD,01
106000,MFULLER,01
110000,TKING,01
110000,JRAMSAY,01
110000,DTRIBONE,01
110000,CJORDAN,01
115000,MVERSECKES,01
118000,NOLIVEIRA,01
118000,MMORAN,01
118000,LONEILL,01
118000,KGROGAN,01
118000,KDOHERTY,01
118000,DBARKER,01
120000,PGREEN,01
135000,MFERNANDES2,01
155000,MDONAGHY,01
155000,ABRENNAN,01
160000,SCOBB,01
170000,MRUNKEL,01
172000,EMROWE,01
204000,WDECOSTE,01
205000,SGARCIA,01
208000,WDECOSTE,01
208000,TJOHNSON,01
209000,EBELANGER,01
209000,DSOULE,01
210000,MLANNIN,01
210000,KAUBUCHON,01
221000,DHART,02
224000,KBURNS,02
231000,EULLOA-MURRAY,02
231000,CSHEA,02
231000,AGORDON,02
235000,TTHIBODEAUX,02
238000,MROMAIN,02
238000,AISIDOR,02
239000,KWOOLLARD,02
239000,JBERRY,02
860000,MRUNKEL,02
140000,WDECOSTE,02
140000,TJOHNSON,02
400000,NEASLEY,02
400000,FSCABIN,02
250000,SPATEL,02
280000,RCREEDON,02
671000,DPAYNE,02
672000,JBUONOPANE,02
795000,HHUME,02
795000,AHARRINGTON,02
805000,PBRANDLEY,02
240000,SCULP,02
240000,HDURSO,02
290000,MHULAK,02
310000,JAALTO,02
310000,BLARKIN,02
320000,JAALTO,02
320000,CJACOBSON,02
330000,JCHAN,02
430000,SGROFF,02
430000,KSILVA,02
430000,DMETRAUX,02
630000,MRUNKEL,02
640000,MRUNKEL,02
673000,JGAUTHIER,02
674000,EBAIRD,02
700000,JBROCHU,02
710000,JRAMSAY,02
710000,DTRIBONE,02
710000,CHOWZE,02
780000,KLEGROW,02
730000,MD'ANGELO,02
313000,JSARIN,02
620000,RBAIN,02
620000,LPAGETSEEKINS,02
804000,NEASLEY,02
804000,JCARREIRO,02
100000,MRUNKEL,02
102000,RSAMPSON,02
102000,LBRELSFORD,02
106000,MFULLER,02
110000,JRAMSAY,02
110000,DTRIBONE,02
110000,CHOWZE,02
115000,MVERSECKES,02
118000,WKINGKADE,02
118000,MMORAN,02
118000,DBARKER,02
118000,AVENEZIANO,02
120000,RSULLIVAN,02
120000,KGREEN,02
135000,MFERNANDES2,02
155000,ABRENNAN,02
160000,SCOBB,02
170000,MRUNKEL,02
172000,EMROWE,02
204000,WDECOSTE,02
205000,SGARCIA,02
208000,WDECOSTE,02
208000,TJOHNSON,02
209000,PFFLYNN,02
209000,JGENTILUCCI,02
210000,MLANNIN,02
221000,HPRANSKY,03
224000,DCARNEY,03
231000,NMICHAUD,03
235000,NMICHAUD,03
238000,TGJOHNSON,03
860000,MRUNKEL,03
140000,TJOHNSON,03
400000,MOUHADI,03
400000,FSCABIN,03
221000,KPETIT,01
221000,CCHANEY,01
224000,SMILLS,01
224000,PLABITUE,01
231000,EULLOA-MURRAY,01
231000,CSHEA,01
231000,AGORDON,01
235000,TTHIBODEAUX,01
238000,MROMAIN,01
238000,AISIDOR,01
239000,MHARRIGAN,01
239000,JMCQUIGGAN,01
860000,MRUNKEL,01
140000,WDECOSTE,01
140000,TJOHNSON,01
400000,NEASLEY,01
400000,FSCABIN,01
250000,SPATEL,01
280000,RCREEDON,01
671000,DPAYNE,01
672000,JBUONOPANE,01
795000,RGUPTILL,01
805000,PBRANDLEY,01
240000,SCULP,01
240000,HDURSO,01
290000,CJOYCE-HARRINGTON,01
310000,SMCDONNELL,01
310000,CGUIOD,01
310000,BDONOVAN,01
320000,JTHORNTON,01
320000,DPETERSEN,01
330000,JCHAN,01
430000,SGROFF,01
430000,KSILVA,01
430000,DMETRAUX,01
630000,MRUNKEL,01
640000,MRUNKEL,01
673000,JGAUTHIER,01
674000,EBAIRD,01
700000,JBROCHU,01
710000,TKING,01
710000,JRAMSAY,01
710000,DTRIBONE,01
710000,CJORDAN,01
780000,SSULLIVAN,01
730000,MD'ANGELO,01
313000,JSARIN,01
620000,RBAIN,01
620000,LPAGETSEEKINS,01
804000,NEASLEY,01
804000,JCARREIRO,01
100000,MRUNKEL,01
102000,RSAMPSON,01
102000,LBRELSFORD,01
106000,MFULLER,01
110000,TKING,01
110000,JRAMSAY,01
110000,DTRIBONE,01
110000,CJORDAN,01
115000,MVERSECKES,01
118000,NOLIVEIRA,01
118000,MMORAN,01
118000,LONEILL,01
118000,KGROGAN,01
118000,KDOHERTY,01
118000,DBARKER,01
120000,PGREEN,01
135000,MFERNANDES2,01
155000,MDONAGHY,01
155000,ABRENNAN,01
160000,SCOBB,01
170000,MRUNKEL,01
172000,EMROWE,01
204000,WDECOSTE,01
205000,SGARCIA,01
208000,WDECOSTE,01
208000,TJOHNSON,01
209000,EBELANGER,01
209000,DSOULE,01
210000,MLANNIN,01
210000,KAUBUCHON,01
221000,DHART,02
224000,KBURNS,02
231000,EULLOA-MURRAY,02
231000,CSHEA,02
231000,AGORDON,02
235000,TTHIBODEAUX,02
238000,MROMAIN,02
238000,AISIDOR,02
239000,KWOOLLARD,02
239000,JBERRY,02
860000,MRUNKEL,02
140000,WDECOSTE,02
140000,TJOHNSON,02
400000,NEASLEY,02
400000,FSCABIN,02
250000,SPATEL,02
280000,RCREEDON,02
671000,DPAYNE,02
672000,JBUONOPANE,02
795000,HHUME,02
795000,AHARRINGTON,02
805000,PBRANDLEY,02
240000,SCULP,02
240000,HDURSO,02
290000,MHULAK,02
310000,JAALTO,02
310000,BLARKIN,02
320000,JAALTO,02
320000,CJACOBSON,02
330000,JCHAN,02
430000,SGROFF,02
430000,KSILVA,02
430000,DMETRAUX,02
630000,MRUNKEL,02
640000,MRUNKEL,02
673000,JGAUTHIER,02
674000,EBAIRD,02
700000,JBROCHU,02
710000,JRAMSAY,02
710000,DTRIBONE,02
710000,CHOWZE,02
780000,KLEGROW,02
730000,MD'ANGELO,02
313000,JSARIN,02
620000,RBAIN,02
620000,LPAGETSEEKINS,02
804000,NEASLEY,02
804000,JCARREIRO,02
100000,MRUNKEL,02
102000,RSAMPSON,02
102000,LBRELSFORD,02
106000,MFULLER,02
110000,JRAMSAY,02
110000,DTRIBONE,02
110000,CHOWZE,02
115000,MVERSECKES,02
118000,WKINGKADE,02
118000,MMORAN,02
118000,DBARKER,02
118000,AVENEZIANO,02
120000,RSULLIVAN,02
120000,KGREEN,02
135000,MFERNANDES2,02
155000,ABRENNAN,02
160000,SCOBB,02
170000,MRUNKEL,02
172000,EMROWE,02
